Country,Branch,Product,Number of Customers,Revenue,Marketing Spend,Operational Cost,Regulatory Compliance Cost,Net Interest Margin %,Non Interest Income,Loan Quality Score,Credit Risk Score,GDP Billion USD,Inflation %,Interest Rate %,Total Cost,Profit,Profit Margin
Oman,Branch_1,Credit Card,"5,165.00","758,258.87","47,868.80","1,392,708.01","103,203.52",2.15,"39,604.44",766.70,3.67,"1,270.06",5.34,0.74,"1,543,780.33","-745,917.02",-98%
Oman,Branch_1,SME Loan,"6,596.00","9,535,161.20","160,767.92","899,214.73","431,594.74",5.61,"414,805.23",509.70,5.13,879.15,3.35,0.75,"1,491,577.39","8,458,389.04",89%
Qatar,Branch_7,SME Loan,"6,283.00","2,890,074.22","642,947.36","1,057,242.13","309,897.21",2.50,"232,101.46",752.10,7.08,343.62,2.61,1.73,"2,010,086.70","1,112,088.98",38%
Qatar,Branch_6,Personal Loan,"4,057.00","3,882,144.82","401,997.95","808,737.56","494,566.25",4.48,"293,914.87",382.37,5.01,"1,452.89",5.56,3.04,"1,705,301.76","2,470,757.93",64%
Oman,Branch_7,Home Loan,"3,507.00","1,007,218.23","826,424.62","1,440,394.37","71,661.49",4.61,"288,855.40",801.55,9.20,572.50,2.68,4.55,"2,338,480.48","-1,042,406.85",-103%
Saudi Arabia,Branch_7,Home Loan,739.00,"1,211,500.31","76,573.49","1,755,689.72","181,283.56",4.40,"489,076.78",565.72,8.81,"1,492.52",4.88,0.81,"2,013,546.77","-312,969.68",-26%
Bahrain,Branch_5,Home Loan,272.00,"7,294,731.60","200,432.02","1,684,872.98","159,050.62",3.99,"457,975.47",393.57,2.32,207.83,4.74,2.96,"2,044,355.62","5,708,351.45",78%
Qatar,Branch_7,Credit Card,"5,766.00","9,448,889.13","303,526.27","1,576,330.04","440,665.46",3.69,"424,714.90",594.29,8.06,828.92,1.25,2.37,"2,320,521.77","7,553,082.26",80%
Saudi Arabia,Branch_2,SME Loan,"4,454.00","6,146,410.10","628,596.44","47,299.65","131,371.78",3.39,"192,251.34",778.51,9.48,"1,116.42",1.89,4.95,"807,267.87","5,531,393.57",90%
Kuwait,Branch_1,Wealth Management,"4,059.00","7,186,915.15","686,746.83","1,825,523.32","179,963.19",5.63,"73,404.75",514.13,3.85,"1,378.19",3.86,1.34,"2,692,233.34","4,568,086.56",64%
Saudi Arabia,Branch_10,Personal Loan,"8,808.00","7,643,500.47","128,582.28","564,253.93","75,702.77",1.54,"296,341.63",397.93,3.14,"1,214.44",5.34,2.16,"768,538.98","7,171,303.12",94%
UAE,Branch_5,Auto Loan,"8,814.00","2,701,861.32","944,085.69","1,778,188.41","388,823.49",1.74,"220,717.72",617.11,1.09,532.32,3.97,0.65,"3,111,097.59","-188,518.55",-7%
Oman,Branch_1,Home Loan,"2,986.00","547,773.35","344,338.91","409,996.84","122,663.13",3.72,"113,537.80",758.96,2.04,516.30,4.71,4.61,"876,998.88","-215,687.73",-39%
Saudi Arabia,Branch_7,Auto Loan,"2,264.00","118,540.16","714,602.92","890,498.59","38,818.53",2.99,"49,748.37",366.74,9.65,663.56,4.67,3.30,"1,643,920.04","-1,475,631.51",-1245%
Kuwait,Branch_2,Home Loan,"4,045.00","3,571,427.90","526,586.68","1,503,809.61","220,378.82",3.34,"218,610.56",322.77,4.52,343.70,3.47,3.15,"2,250,775.11","1,539,263.35",43%
UAE,Branch_5,Wealth Management,"5,335.00","2,490,495.86","226,644.32","1,287,752.31","198,771.77",5.99,"325,782.99",330.96,4.49,"1,070.45",3.80,0.72,"1,713,168.40","1,103,110.45",44%
Saudi Arabia,Branch_3,Home Loan,"7,846.00","716,945.48","846,997.18","843,525.44","92,916.56",4.99,"313,069.52",426.77,3.40,"1,423.64",1.36,0.95,"1,783,439.18","-753,424.18",-105%
Saudi Arabia,Branch_1,Credit Card,"2,690.00","1,877,330.10","819,146.84","1,363,675.24","71,130.79",5.45,"387,186.80",304.02,2.48,"1,034.74",5.64,4.06,"2,253,952.87","10,564.03",1%
Qatar,Branch_10,Credit Card,"7,854.00","1,332,539.09","399,091.49","1,106,920.03","448,795.82",3.16,"233,810.76",535.77,5.58,893.39,4.37,2.97,"1,954,807.34","-388,457.49",-29%
Qatar,Branch_3,Personal Loan,"5,034.00","9,157,295.97","590,664.55","565,957.89","38,583.02",2.58,"161,498.15",683.76,7.51,854.35,1.77,1.40,"1,195,205.46","8,123,588.66",89%
Qatar,Branch_4,Auto Loan,"4,176.00","1,488,645.41","261,536.57","1,299,732.30","54,158.92",4.96,"269,811.51",690.75,5.96,970.40,2.22,2.97,"1,615,427.79","143,029.13",10%
Bahrain,Branch_9,Personal Loan,"5,285.00","5,422,719.79","691,402.37","424,409.23","126,298.40",5.13,"487,528.02",650.19,1.32,"1,123.80",1.02,4.86,"1,242,110.00","4,668,137.81",86%
Qatar,Branch_4,Auto Loan,"1,193.00","5,971,748.96","312,481.68","1,394,096.80","476,655.40",3.97,"23,500.18",462.91,8.23,"1,233.50",2.32,0.97,"2,183,233.88","3,812,015.26",64%
Qatar,Branch_7,Auto Loan,"3,980.00","5,480,545.63","844,858.34","26,159.54","47,265.20",5.53,"264,804.24",704.77,9.38,"1,107.82",2.58,4.87,"918,283.08","4,827,066.79",88%
Kuwait,Branch_6,SME Loan,"6,659.00","1,080,658.70","221,298.18","1,106,569.58","408,927.34",5.85,"165,302.99",617.07,4.96,"1,116.54",4.42,3.99,"1,736,795.10","-490,833.41",-45%
Qatar,Branch_1,Wealth Management,"2,885.00","3,256,103.78","19,729.41","814,113.90","446,565.82",3.62,"53,569.77",773.65,4.30,"1,437.25",3.38,1.15,"1,280,409.13","2,029,264.42",62%
Saudi Arabia,Branch_5,Wealth Management,"6,165.00","607,576.29","272,165.50","620,145.47","192,044.53",2.50,"217,900.61",562.90,3.07,"1,369.15",5.21,4.17,"1,084,355.50","-258,878.60",-43%
Qatar,Branch_5,Credit Card,"6,639.00","4,017,132.15","195,097.22","1,041,101.78","150,477.73",3.83,"320,940.90",399.08,3.72,"1,271.10",1.43,3.85,"1,386,676.73","2,951,396.32",73%
UAE,Branch_10,Credit Card,"1,674.00","1,967,129.42","510,745.01","1,297,717.03","340,301.98",5.95,"264,554.62",649.06,6.80,256.37,4.54,3.08,"2,148,764.02","82,920.02",4%
UAE,Branch_4,Auto Loan,"5,776.00","5,660,162.08","207,684.78","1,931,318.29","352,804.13",2.82,"15,559.06",382.93,7.93,"1,069.53",5.37,3.98,"2,491,807.20","3,183,913.94",56%
Qatar,Branch_2,SME Loan,"8,160.00","6,958,803.10","764,373.92","1,669,467.69","391,088.70",4.28,"289,979.61",829.73,3.99,791.48,3.11,1.14,"2,824,930.31","4,423,852.40",64%
Saudi Arabia,Branch_9,Auto Loan,"4,090.00","5,367,986.62","245,163.78","1,439,956.77","416,130.56",4.62,"116,769.29",686.81,4.06,"1,002.88",2.44,3.75,"2,101,251.11","3,383,504.80",63%
Bahrain,Branch_1,SME Loan,"5,310.00","4,398,943.30","708,433.34","968,354.49","137,855.75",2.46,"171,396.80",715.98,5.06,"1,092.17",3.23,3.38,"1,814,643.58","2,755,696.52",63%
Qatar,Branch_8,Wealth Management,"4,945.00","3,934,600.87","580,578.57","796,445.36","345,045.99",4.15,"156,790.17",673.60,2.53,"1,129.05",4.94,1.78,"1,722,069.92","2,369,321.12",60%
UAE,Branch_6,SME Loan,"9,385.00","8,432,748.50","986,318.61","84,408.72","71,778.33",2.92,"429,398.14",353.66,9.34,"1,330.25",5.60,3.61,"1,142,505.66","7,719,640.98",92%
Saudi Arabia,Branch_9,Wealth Management,"1,289.00","2,271,743.84","999,901.47","731,011.87","257,812.01",5.34,"24,738.94",555.91,7.35,"1,382.99",1.33,3.55,"1,988,725.35","307,757.43",14%
Bahrain,Branch_4,SME Loan,"2,789.00","7,368,761.56","870,178.45","1,699,786.73","308,379.02",4.72,"174,650.38",658.28,4.90,988.88,3.64,1.58,"2,878,344.20","4,665,067.74",63%
Qatar,Branch_9,Auto Loan,"4,195.00","7,599,075.01","761,183.45","780,368.67","85,057.31",5.22,"198,013.35",426.15,2.10,"1,362.41",4.20,1.16,"1,626,609.43","6,170,478.93",81%
Bahrain,Branch_3,Personal Loan,"1,975.00","4,250,080.07","389,524.13","933,938.30","42,870.74",2.40,"309,798.30",673.73,8.64,"1,194.01",1.09,2.13,"1,366,333.17","3,193,545.20",75%
Kuwait,Branch_4,Wealth Management,"7,868.00","3,043,275.93","754,510.34","558,232.16","101,399.41",1.66,"394,693.46",750.94,5.35,463.54,1.91,2.30,"1,414,141.91","2,023,827.48",67%
Kuwait,Branch_9,Credit Card,"3,506.00","4,758,360.71","956,892.16","562,782.86","213,191.43",5.33,"364,104.90",451.21,8.17,245.91,1.31,4.21,"1,732,866.45","3,389,599.16",71%
Saudi Arabia,Branch_2,Wealth Management,"4,032.00","1,022,817.87","28,260.69","142,506.09","444,481.28",3.24,"376,558.43",409.78,1.30,212.85,2.45,2.46,"615,248.06","784,128.24",77%
Bahrain,Branch_2,Personal Loan,"9,899.00","554,707.32","540,225.13","1,235,331.77","268,297.64",2.31,"97,001.12",785.74,3.46,962.61,2.03,3.81,"2,043,854.54","-1,392,146.10",-251%
Kuwait,Branch_7,Wealth Management,"8,340.00","1,204,871.67","221,908.31","907,177.42","375,503.98",1.91,"455,956.90",302.86,6.60,878.07,3.43,2.58,"1,504,589.71","156,238.86",13%
Qatar,Branch_5,Personal Loan,"5,508.00","1,952,735.81","560,086.93","1,219,802.40","91,201.54",3.82,"207,660.19",440.66,5.39,"1,105.28",4.28,0.80,"1,871,090.87","289,305.13",15%
Oman,Branch_1,SME Loan,"3,961.00","5,091,350.52","469,114.85","1,102,836.06","57,459.21",2.18,"6,543.41",523.70,3.66,"1,295.68",5.21,3.44,"1,629,410.12","3,468,483.81",68%
Qatar,Branch_4,Auto Loan,"7,506.00","8,506,452.70","577,889.74","1,601,712.28","123,610.59",4.05,"334,379.99",669.74,2.81,413.78,2.52,4.53,"2,303,212.61","6,537,620.08",77%
Bahrain,Branch_3,SME Loan,"2,933.00","2,432,859.09","553,207.41","1,507,003.59","160,370.80",4.77,"302,397.40",848.38,3.72,"1,313.36",1.25,2.83,"2,220,581.80","514,674.69",21%
Kuwait,Branch_1,Auto Loan,"5,385.00","9,358,103.91","960,306.50","1,547,478.63","276,310.50",3.91,"63,852.86",503.95,7.68,327.51,1.02,3.66,"2,784,095.63","6,637,861.14",71%
Saudi Arabia,Branch_5,Credit Card,"9,689.00","9,553,588.30","554,425.18","1,008,493.23","441,215.44",5.57,"479,973.94",821.84,2.65,"1,348.22",5.22,4.00,"2,004,133.85","8,029,428.39",84%
Qatar,Branch_3,Wealth Management,"7,745.00","9,593,155.59","847,000.93","720,685.08","215,915.85",2.20,"281,220.65",501.73,6.34,"1,305.63",5.39,2.60,"1,783,601.86","8,090,774.38",84%
Bahrain,Branch_4,Home Loan,"9,123.00","8,391,871.07","323,221.19","1,868,204.45","261,805.10",3.72,"235,162.73",682.54,4.81,"1,106.04",1.50,1.62,"2,453,230.74","6,173,803.06",74%
Oman,Branch_3,Credit Card,"4,877.00","3,701,867.90","440,910.19","127,454.15","7,283.70",2.23,"199,662.99",390.95,7.87,590.04,1.05,4.37,"575,648.04","3,325,882.85",90%
Kuwait,Branch_2,SME Loan,"2,835.00","819,570.72","473,061.41","322,190.19","21,489.47",5.44,"105,715.84",553.22,2.81,321.44,5.00,4.23,"816,741.07","108,545.49",13%
Saudi Arabia,Branch_5,Credit Card,"8,373.00","5,731,305.44","282,334.40","850,806.20","46,465.75",5.70,"476,453.59",779.20,3.43,"1,211.51",4.20,4.37,"1,179,606.35","5,028,152.68",88%
Oman,Branch_3,SME Loan,"8,378.00","5,630,946.29","382,891.31","1,235,636.15","351,002.07",3.30,"351,377.16",476.00,4.59,483.24,3.78,4.22,"1,969,529.53","4,012,793.92",71%
Qatar,Branch_7,Wealth Management,"6,468.00","8,514,760.09","600,520.51","36,236.74","245,664.73",2.88,"284,234.27",357.86,2.50,773.22,3.67,1.10,"882,421.98","7,916,572.38",93%
Bahrain,Branch_3,Auto Loan,921.00,"9,960,311.40","582,286.82","1,444,259.18","100,515.79",2.76,"315,968.90",587.49,5.15,890.12,4.87,2.37,"2,127,061.79","8,149,218.51",82%
UAE,Branch_5,Home Loan,"7,625.00","5,130,757.33","638,253.17","1,126,278.55","298,336.72",5.37,"420,369.81",541.74,4.74,"1,091.08",2.47,1.36,"2,062,868.44","3,488,258.70",68%
Bahrain,Branch_1,SME Loan,262.00,"3,517,519.91","355,058.83","979,711.46","274,583.02",4.57,"318,224.42",426.25,9.91,833.67,2.95,1.20,"1,609,353.31","2,226,391.02",63%
Oman,Branch_3,SME Loan,"7,877.00","1,940,426.94","319,252.34","858,520.18","48,955.65",5.46,"58,180.77",798.09,6.34,"1,102.89",1.39,4.02,"1,226,728.17","771,879.54",40%
Bahrain,Branch_1,Wealth Management,"2,032.00","147,518.27","613,559.79","1,048,584.32","322,004.32",2.03,"348,950.28",630.93,1.63,"1,258.25",3.83,2.67,"1,984,148.43","-1,487,679.88",-1008%
Bahrain,Branch_6,Credit Card,"3,635.00","5,140,225.56","137,197.44","340,335.75","384,741.66",3.64,"282,869.82",490.95,5.14,"1,126.98",5.80,0.91,"862,274.85","4,560,820.53",89%
Oman,Branch_7,Wealth Management,"6,056.00","5,599,634.80","256,766.39","235,249.24","146,844.43",4.54,"483,205.71",847.87,8.91,589.35,2.42,2.33,"638,860.06","5,443,980.45",97%
Qatar,Branch_10,Personal Loan,"3,546.00","8,266,890.95","46,917.10","593,482.21","345,306.99",5.54,"367,125.89",375.66,8.80,"1,362.57",5.65,4.97,"985,706.30","7,648,310.54",93%
Qatar,Branch_1,Personal Loan,"2,890.00","5,095,311.98","77,247.80","1,424,819.49","103,861.16",3.22,"172,657.46",766.37,9.66,915.74,4.65,1.46,"1,605,928.45","3,662,040.99",72%
Qatar,Branch_6,SME Loan,"2,807.00","9,173,036.65","247,166.36","1,184,810.01","379,580.76",2.91,"68,563.53",426.84,9.05,804.99,2.17,2.29,"1,811,557.13","7,430,043.05",81%
Bahrain,Branch_8,Wealth Management,"8,059.00","6,318,026.42","24,431.63","970,643.57","456,328.21",5.61,"241,658.02",431.73,2.59,947.56,4.31,3.18,"1,451,403.41","5,108,281.03",81%
Bahrain,Branch_3,Personal Loan,"4,033.00","8,419,328.76","249,183.54","1,151,611.51","223,724.23",1.71,"339,997.79",573.99,1.03,828.19,2.83,1.40,"1,624,519.28","7,134,807.27",85%
Kuwait,Branch_3,Credit Card,"3,485.00","1,568,187.17","656,701.44","1,127,330.87","126,087.93",3.66,"89,460.48",664.07,6.55,"1,181.64",1.61,4.85,"1,910,120.24","-252,472.59",-16%
Oman,Branch_3,Personal Loan,"6,736.00","8,567,827.69","65,801.54","627,943.01","202,592.47",3.56,"325,072.69",679.75,7.32,746.86,1.46,3.36,"896,337.02","7,996,563.36",93%
Oman,Branch_4,Home Loan,"1,022.00","6,783,924.16","439,552.99","212,962.78","128,788.35",2.16,"412,980.27",312.17,2.18,"1,209.74",1.09,1.53,"781,304.12","6,415,600.31",95%
Kuwait,Branch_4,Wealth Management,"8,189.00","1,785,307.02","913,543.24","1,795,629.09","5,613.49",3.28,"79,368.04",457.77,2.50,"1,188.20",4.99,2.51,"2,714,785.82","-850,110.76",-48%
Saudi Arabia,Branch_10,SME Loan,"9,874.00","1,978,659.23","792,328.40","1,207,824.30","326,976.02",4.75,"353,187.07",663.33,9.67,559.93,5.42,2.12,"2,327,128.72","4,717.58",0%
UAE,Branch_9,Wealth Management,664.00,"9,272,356.13","308,910.31","1,401,541.04","26,050.69",3.15,"35,060.56",789.35,9.49,324.72,3.41,1.05,"1,736,502.04","7,570,914.65",82%
Qatar,Branch_5,Credit Card,"3,358.00","418,932.07","925,181.45","938,714.50","109,143.42",2.89,"4,967.09",668.44,2.41,"1,306.25",3.60,1.78,"1,973,039.37","-1,549,140.21",-370%
UAE,Branch_4,SME Loan,"2,600.00","4,679,095.94","332,998.26","1,517,831.55","362,612.53",5.02,"17,284.71",446.23,3.22,419.60,4.46,2.99,"2,213,442.34","2,482,938.31",53%
Qatar,Branch_9,Wealth Management,"4,666.00","3,203,405.37","77,152.92","1,177,304.58","334,533.88",5.95,"316,120.78",579.28,9.03,240.54,4.50,0.90,"1,588,991.38","1,930,534.77",60%
Oman,Branch_10,Wealth Management,"9,279.00","6,684,266.66","994,085.68","126,526.22","41,297.81",5.01,"486,707.66",656.17,4.91,723.02,2.62,0.72,"1,161,909.71","6,009,064.61",90%
Kuwait,Branch_4,Auto Loan,"6,981.00","8,412,330.94","870,672.41","1,782,392.13","331,727.10",5.31,"385,914.75",374.44,8.18,530.39,1.80,2.94,"2,984,791.64","5,813,454.05",69%
Saudi Arabia,Branch_1,Credit Card,"3,736.00","3,667,743.40","468,603.12","624,961.57","465,634.57",5.73,"127,950.22",599.70,4.56,486.47,3.15,2.45,"1,559,199.26","2,236,494.36",61%
UAE,Branch_7,Personal Loan,"6,130.00","4,326,330.66","668,044.64","293,023.74","41,878.72",5.11,"36,772.65",559.42,7.63,424.01,4.49,1.35,"1,002,947.10","3,360,156.21",78%
Bahrain,Branch_10,SME Loan,323.00,"9,820,986.07","672,871.94","194,321.20","210,765.67",5.91,"308,710.41",485.16,4.57,"1,173.96",5.02,3.71,"1,077,958.81","9,051,737.67",92%
Oman,Branch_9,Credit Card,"6,397.00","7,860,773.45","198,509.82","1,446,471.82","366,069.78",4.86,"2,611.21",642.95,9.09,"1,218.45",1.45,0.90,"2,011,051.42","5,852,333.24",74%
Kuwait,Branch_8,Auto Loan,450.00,"8,982,320.90","204,048.39","1,413,857.37","335,522.89",4.48,"396,500.23",649.92,3.93,260.31,3.94,1.72,"1,953,428.65","7,425,392.48",83%
Saudi Arabia,Branch_9,Credit Card,"7,414.00","4,443,745.98","472,232.80","1,406,321.01","117,122.72",4.62,"122,317.14",834.31,5.71,910.86,1.27,0.96,"1,995,676.53","2,570,386.59",58%
Qatar,Branch_4,Credit Card,"2,028.00","2,417,354.42","912,015.27","1,833,190.49","85,718.30",5.55,"150,309.32",535.57,5.70,375.69,5.12,3.77,"2,830,924.06","-263,260.32",-11%
Qatar,Branch_10,Auto Loan,"7,843.00","4,177,448.31","14,943.81","710,907.18","393,202.27",4.57,"172,645.51",592.20,6.84,849.42,4.33,3.35,"1,119,053.26","3,231,040.56",77%
Saudi Arabia,Branch_4,Home Loan,"8,640.00","7,189,309.99","783,593.11","1,131,043.45","478,341.10",4.93,"382,012.92",386.63,3.76,652.31,4.48,1.35,"2,392,977.66","5,178,345.25",72%
Qatar,Branch_1,Home Loan,"4,832.00","1,183,361.01","62,239.15","1,246,601.25","384,953.82",2.47,"133,605.19",601.60,6.78,462.36,4.81,3.01,"1,693,794.22","-376,828.02",-32%
Qatar,Branch_6,Home Loan,"1,117.00","2,777,644.15","480,831.00","1,959,374.02","481,786.22",5.61,"142,950.98",319.85,2.27,"1,432.48",3.48,3.63,"2,921,991.24","-1,396.11",0%
Bahrain,Branch_2,Personal Loan,"2,326.00","561,695.41","639,683.47","638,445.36","304,472.73",3.51,"270,954.98",382.43,9.04,"1,443.77",2.49,0.65,"1,582,601.56","-749,951.17",-134%
Qatar,Branch_9,SME Loan,"7,306.00","4,380,242.61","688,325.47","1,913,535.78","464,903.94",2.22,"232,037.26",394.19,2.30,933.16,4.93,3.48,"3,066,765.19","1,545,514.68",35%
Oman,Branch_1,Wealth Management,"7,270.00","8,291,712.79","63,186.87","314,493.98","346,765.67",5.10,"477,829.27",647.95,8.56,444.47,4.89,1.90,"724,446.52","8,045,095.54",97%
UAE,Branch_7,Personal Loan,"6,307.00","344,170.51","421,510.60","1,532,722.88","454,897.95",3.10,"132,434.89",612.01,7.24,958.25,1.67,1.11,"2,409,131.43","-1,932,526.03",-562%
Oman,Branch_10,Personal Loan,"2,519.00","6,785,702.92","585,918.07","1,273,114.08","84,986.54",2.33,"46,853.73",738.92,4.07,"1,407.05",5.51,4.20,"1,944,018.69","4,888,537.96",72%
Saudi Arabia,Branch_8,Auto Loan,"6,340.00","9,331,709.16","70,715.31","1,637,454.15","408,704.78",2.65,"270,949.76",555.42,3.95,691.09,2.11,3.23,"2,116,874.24","7,485,784.68",80%
Saudi Arabia,Branch_5,Wealth Management,"1,993.00","2,445,585.83","139,419.08","76,797.44","102,389.17",1.66,"93,075.27",561.17,9.69,379.06,2.53,2.96,"318,605.69","2,220,055.41",91%
Bahrain,Branch_1,Personal Loan,"5,422.00","6,966,984.92","665,330.74","174,699.47","18,577.41",1.91,"207,399.72",388.86,2.75,"1,101.80",2.08,4.26,"858,607.62","6,315,777.02",91%
Kuwait,Branch_1,SME Loan,"7,818.00","9,753,508.82","524,030.01","157,997.64","261,205.14",4.17,"94,411.77",708.49,7.51,"1,053.15",5.83,1.69,"943,232.79","8,904,687.80",91%
Oman,Branch_5,Credit Card,"6,978.00","9,626,552.80","166,019.52","1,194,059.72","162,534.63",5.40,"440,603.97",302.01,2.65,201.80,2.50,0.56,"1,522,613.87","8,544,542.90",89%
Kuwait,Branch_1,Auto Loan,"1,225.00","2,425,799.01","537,563.14","1,213,813.41","26,548.02",3.52,"164,397.37",533.69,9.15,"1,309.69",5.86,4.77,"1,777,924.57","812,271.81",33%
Oman,Branch_9,Home Loan,"3,217.00","1,093,277.43","913,128.91","1,814,087.68","490,250.67",4.32,"387,658.89",403.58,7.68,"1,058.97",4.19,1.68,"3,217,467.26","-1,736,530.94",-159%
Qatar,Branch_10,Personal Loan,"4,261.00","1,567,997.13","20,509.65","945,854.96","334,900.72",5.14,"474,353.09",724.06,9.39,454.41,1.88,3.35,"1,301,265.33","741,084.89",47%
Saudi Arabia,Branch_9,Auto Loan,"4,142.00","7,050,153.12","644,420.60","154,737.13","451,397.03",3.11,"470,334.74",670.37,8.91,204.21,3.77,4.90,"1,250,554.76","6,269,933.10",89%
Oman,Branch_9,Wealth Management,"4,533.00","7,285,012.87","78,282.18","434,868.22","499,545.88",4.44,"262,875.75",688.72,5.95,"1,463.99",5.41,1.55,"1,012,696.28","6,535,192.34",90%
UAE,Branch_7,Personal Loan,"8,738.00","6,774,941.96","11,417.20","35,984.73","199,023.53",3.08,"491,644.30",381.72,2.37,"1,181.08",3.81,4.97,"246,425.46","7,020,160.80",104%
UAE,Branch_10,SME Loan,"2,758.00","3,427,176.04","154,901.22","1,557,894.76","131,094.83",4.39,"328,312.67",667.85,2.99,674.57,1.66,2.92,"1,843,890.81","1,911,597.90",56%
Qatar,Branch_9,Home Loan,"3,583.00","1,780,791.70","425,792.10","1,634,886.89","96,022.77",2.48,"65,115.98",679.99,2.82,762.62,2.43,4.82,"2,156,701.76","-310,794.08",-17%
Kuwait,Branch_7,Credit Card,"3,044.00","5,849,534.81","803,332.28","1,995,922.02","260,017.62",5.90,"444,300.09",301.45,2.99,900.52,2.12,0.89,"3,059,271.92","3,234,562.98",55%
Qatar,Branch_1,Wealth Management,"7,310.00","4,888,436.41","285,376.57","836,145.01","305,009.98",1.84,"234,875.93",474.68,5.29,"1,134.22",1.63,2.89,"1,426,531.56","3,696,780.78",76%
Kuwait,Branch_10,Credit Card,"7,753.00","7,315,458.06","627,544.85","58,210.78","238,849.25",3.77,"77,194.45",348.01,8.81,424.81,2.64,4.75,"924,604.88","6,468,047.63",88%
Bahrain,Branch_5,Home Loan,"8,887.00","4,469,464.78","414,100.85","484,765.17","196,689.75",2.79,"395,919.46",674.77,1.21,454.45,4.31,1.20,"1,095,555.77","3,769,828.47",84%
Bahrain,Branch_3,Credit Card,"2,086.00","3,452,532.98","238,160.13","1,183,782.36","88,294.92",4.20,"312,577.10",416.66,3.15,262.75,2.91,1.74,"1,510,237.41","2,254,872.67",65%
Bahrain,Branch_1,Home Loan,"1,174.00","3,005,437.92","516,675.88","1,924,647.07","223,720.51",3.43,"441,178.36",445.56,6.37,"1,481.53",3.22,1.46,"2,665,043.46","781,572.82",26%
Saudi Arabia,Branch_9,SME Loan,"4,405.00","2,193,556.17","798,477.17","225,085.53","47,195.35",2.88,"413,833.91",343.08,8.79,"1,338.24",2.60,4.84,"1,070,758.05","1,536,632.03",70%
Oman,Branch_3,SME Loan,"3,107.00","2,730,889.12","833,329.91","260,714.58","433,198.64",2.63,"160,735.10",566.09,3.68,918.85,5.97,1.69,"1,527,243.13","1,364,381.09",50%
Kuwait,Branch_7,Credit Card,"1,069.00","1,038,821.34","847,286.93","1,409,482.79","28,216.81",2.32,"128,900.97",318.17,4.44,759.36,3.93,1.04,"2,284,986.53","-1,117,264.22",-108%
Kuwait,Branch_4,Auto Loan,"8,872.00","3,533,884.41","341,865.02","1,341,069.97","193,419.80",5.02,"367,180.45",765.08,4.36,508.67,5.17,4.09,"1,876,354.79","2,024,710.07",57%
Saudi Arabia,Branch_10,Personal Loan,"2,924.00","462,041.14","794,488.78","516,002.58","54,568.25",2.50,"287,083.12",314.50,3.64,973.48,3.21,2.81,"1,365,059.61","-615,935.35",-133%
Bahrain,Branch_7,Credit Card,"1,311.00","1,945,497.09","216,117.56","1,630,026.69","388,615.35",4.98,"35,867.53",333.90,7.29,"1,097.66",1.84,3.15,"2,234,759.60","-253,394.98",-13%
Saudi Arabia,Branch_8,Wealth Management,329.00,"7,493,027.40","739,732.98","274,981.94","159,804.80",3.68,"91,637.26",652.22,6.90,"1,095.94",5.23,3.23,"1,174,519.72","6,410,144.94",86%
Qatar,Branch_2,Credit Card,"4,384.00","3,322,142.99","948,642.50","1,852,968.85","60,987.28",1.83,"76,525.37",804.31,8.59,208.37,4.82,3.26,"2,862,598.63","536,069.73",16%
Bahrain,Branch_2,Personal Loan,"3,285.00","6,715,546.47","18,675.12","418,043.22","268,088.19",2.24,"295,308.64",790.67,9.26,"1,112.65",2.65,2.54,"704,806.53","6,306,048.58",94%
Oman,Branch_1,SME Loan,601.00,"7,197,153.34","443,162.11","181,077.70","458,557.12",5.52,"43,795.37",346.00,9.10,"1,326.28",4.03,4.89,"1,082,796.93","6,158,151.78",86%
Kuwait,Branch_7,Wealth Management,148.00,"5,853,734.89","649,532.13","692,253.73","454,779.21",4.21,"104,642.77",458.65,5.86,349.39,1.47,1.28,"1,796,565.07","4,161,812.59",71%
Qatar,Branch_2,Wealth Management,"3,666.00","9,591,107.64","703,266.89","391,925.75","128,577.27",2.33,"273,142.87",586.57,2.67,"1,181.99",1.13,4.81,"1,223,769.91","8,640,480.60",90%
Qatar,Branch_3,Credit Card,"3,155.00","312,254.68","180,207.32","1,063,343.63","361,231.54",4.67,"67,395.35",314.64,3.00,"1,270.21",5.08,1.82,"1,604,782.49","-1,225,132.46",-392%
Bahrain,Branch_6,Home Loan,"8,980.00","7,412,661.24","972,322.36","1,379,956.14","19,990.68",5.20,"124,887.64",590.75,6.31,559.02,5.71,1.35,"2,372,269.18","5,165,279.70",70%
Saudi Arabia,Branch_2,Personal Loan,486.00,"9,591,987.78","617,189.04","992,024.73","70,266.64",2.99,"453,488.73",546.27,9.27,"1,125.74",2.72,3.32,"1,679,480.41","8,365,996.10",87%
Kuwait,Branch_9,Personal Loan,"1,069.00","8,636,490.12","168,518.90","1,328,002.52","252,238.82",4.00,"348,861.64",623.63,5.77,325.78,3.99,4.51,"1,748,760.24","7,236,591.52",84%
Bahrain,Branch_1,Auto Loan,"9,297.00","1,762,137.65","25,419.90","742,542.62","118,234.44",2.82,"154,133.83",806.17,9.42,"1,043.98",4.59,2.13,"886,196.96","1,030,074.52",58%
Qatar,Branch_7,SME Loan,"5,920.00","3,335,521.03","784,347.88","75,286.74","400,139.62",1.86,"438,800.21",451.04,3.36,863.43,4.73,0.84,"1,259,774.24","2,514,547.00",75%
